2020-02-25 21:54:22.183355 -  latency: 53.390026 ms
2020-02-25 21:54:22.186424 -  latency: 2.006054 ms
2020-02-25 21:54:22.191728 -  latency: 1.799822 ms
2020-02-25 21:54:22.199547 -  latency: 86.042881 ms
2020-02-25 21:54:22.203144 -  latency: 2.266169 ms
2020-02-25 21:54:22.208094 -  latency: 1.784086 ms
2020-02-25 21:54:22.216042 -  latency: 20.629883 ms
2020-02-25 21:54:22.219462 -  latency: 2.256870 ms
2020-02-25 21:54:22.224460 -  latency: 1.775026 ms
2020-02-25 21:54:22.232448 -  latency: 20.664930 ms
2020-02-25 21:54:22.236256 -  latency: 2.681971 ms
2020-02-25 21:54:22.241003 -  latency: 1.941919 ms
2020-02-25 21:54:22.248859 -  latency: 69.849014 ms
2020-02-25 21:54:22.252384 -  latency: 2.400875 ms
2020-02-25 21:54:22.257394 -  latency: 1.942158 ms
2020-02-25 21:54:22.265586 -  latency: 102.927923 ms
2020-02-25 21:54:22.268783 -  latency: 2.350092 ms
2020-02-25 21:54:22.273739 -  latency: 1.836061 ms
2020-02-25 21:54:22.281835 -  latency: 20.863056 ms
2020-02-25 21:54:22.285200 -  latency: 2.391100 ms
2020-02-25 21:54:22.290131 -  latency: 1.848936 ms
2020-02-25 21:54:22.298192 -  latency: 53.704977 ms
2020-02-25 21:54:22.301608 -  latency: 2.403021 ms
2020-02-25 21:54:22.306806 -  latency: 2.123833 ms
2020-02-25 21:54:22.315213 -  latency: 87.106943 ms
2020-02-25 21:54:22.319013 -  latency: 3.206968 ms
2020-02-25 21:54:22.323193 -  latency: 1.911163 ms
2020-02-25 21:54:22.331027 -  latency: 20.642996 ms
2020-02-25 21:54:22.334307 -  latency: 2.152920 ms
2020-02-25 21:54:22.339572 -  latency: 1.925945 ms
2020-02-25 21:54:22.347200 -  latency: 53.477049 ms
2020-02-25 21:54:22.350890 -  latency: 2.405882 ms
2020-02-25 21:54:22.355788 -  latency: 1.869917 ms
2020-02-25 21:54:22.363365 -  latency: 20.308018 ms
2020-02-25 21:54:22.367238 -  latency: 2.421141 ms
2020-02-25 21:54:22.372558 -  latency: 2.252817 ms
2020-02-25 21:54:22.380040 -  latency: 102.707863 ms
2020-02-25 21:54:22.383542 -  latency: 2.400160 ms
2020-02-25 21:54:22.388498 -  latency: 1.909018 ms
2020-02-25 21:54:22.396253 -  latency: 20.536900 ms
2020-02-25 21:54:22.399845 -  latency: 2.353191 ms
2020-02-25 21:54:22.404802 -  latency: 1.883984 ms
2020-02-25 21:54:22.412777 -  latency: 53.445101 ms
2020-02-25 21:54:22.416325 -  latency: 2.418041 ms
2020-02-25 21:54:22.421250 -  latency: 1.873016 ms
2020-02-25 21:54:22.428850 -  latency: 102.138042 ms
2020-02-25 21:54:22.432778 -  latency: 2.453089 ms
2020-02-25 21:54:22.438060 -  latency: 2.241135 ms
2020-02-25 21:54:22.445425 -  latency: 20.610094 ms
2020-02-25 21:54:22.449220 -  latency: 2.431870 ms
2020-02-25 21:54:22.454146 -  latency: 1.878977 ms
2020-02-25 21:54:22.461884 -  latency: 53.484917 ms
2020-02-25 21:54:22.465594 -  latency: 2.437115 ms
2020-02-25 21:54:22.470520 -  latency: 1.928091 ms
2020-02-25 21:54:22.481784 -  latency: 2.269983 ms
2020-02-25 21:54:22.486846 -  latency: 1.851082 ms
2020-02-25 21:54:22.498314 -  latency: 2.389908 ms
2020-02-25 21:54:22.503501 -  latency: 2.094030 ms
2020-02-25 21:54:22.514893 -  latency: 2.289057 ms
2020-02-25 21:54:22.519803 -  latency: 1.816988 ms
2020-02-25 21:54:22.531190 -  latency: 2.327919 ms
2020-02-25 21:54:22.536290 -  latency: 1.946926 ms
2020-02-25 21:54:22.547572 -  latency: 2.287865 ms
2020-02-25 21:54:22.552716 -  latency: 2.002001 ms
2020-02-25 21:54:22.564382 -  latency: 2.699137 ms
2020-02-25 21:54:22.569269 -  latency: 1.949072 ms
2020-02-25 21:54:22.580629 -  latency: 2.288818 ms
2020-02-25 21:54:22.585597 -  latency: 1.816988 ms
2020-02-25 21:54:22.587496 -  latency: 195.475817 ms
2020-02-25 21:54:22.588999 -  latency: 114.970922 ms
2020-02-25 21:54:22.590846 -  latency: 133.120060 ms
2020-02-25 21:54:22.592195 -  latency: 101.766109 ms
2020-02-25 21:54:22.593546 -  latency: 152.229071 ms
2020-02-25 21:54:22.598760 -  latency: 58.920860 ms
2020-02-25 21:54:22.600650 -  latency: 93.487024 ms
2020-02-25 21:54:22.601993 -  latency: 3.179789 ms
2020-02-25 21:54:22.604432 -  latency: 31.572819 ms
2020-02-25 21:54:22.606295 -  latency: 1.814127 ms
2020-02-25 21:54:22.613839 -  latency: 57.606936 ms
2020-02-25 21:54:22.617587 -  latency: 2.241850 ms
2020-02-25 21:54:22.622533 -  latency: 1.842976 ms
2020-02-25 21:54:22.630018 -  latency: 20.041943 ms
2020-02-25 21:54:22.634086 -  latency: 2.532005 ms
