2020-02-25 21:49:53.452201 -  latency: 3.151894 ms
2020-02-25 21:49:53.456871 -  latency: 2.350092 ms
2020-02-25 21:49:53.461864 -  latency: 1.842022 ms
2020-02-25 21:49:53.468644 -  latency: 3.140926 ms
2020-02-25 21:49:53.473186 -  latency: 2.203941 ms
2020-02-25 21:49:53.478281 -  latency: 1.874924 ms
2020-02-25 21:49:53.485060 -  latency: 3.210068 ms
2020-02-25 21:49:53.489576 -  latency: 2.264023 ms
2020-02-25 21:49:53.494964 -  latency: 2.185106 ms
2020-02-25 21:49:53.501155 -  latency: 2.953053 ms
2020-02-25 21:49:53.505608 -  latency: 2.031088 ms
2020-02-25 21:49:53.510750 -  latency: 1.772165 ms
2020-02-25 21:49:53.517496 -  latency: 3.106117 ms
2020-02-25 21:49:53.521912 -  latency: 2.104044 ms
2020-02-25 21:49:53.526947 -  latency: 1.718998 ms
2020-02-25 21:49:53.533681 -  latency: 2.986908 ms
2020-02-25 21:49:53.538283 -  latency: 2.164125 ms
2020-02-25 21:49:53.543235 -  latency: 1.681089 ms
2020-02-25 21:49:53.550048 -  latency: 3.063202 ms
2020-02-25 21:49:53.554501 -  latency: 2.099037 ms
2020-02-25 21:49:53.559600 -  latency: 1.703024 ms
2020-02-25 21:49:53.566370 -  latency: 3.045082 ms
2020-02-25 21:49:53.570887 -  latency: 2.134085 ms
2020-02-25 21:49:53.576293 -  latency: 2.104044 ms
2020-02-25 21:49:53.582621 -  latency: 3.011942 ms
2020-02-25 21:49:53.587134 -  latency: 2.029896 ms
2020-02-25 21:49:53.592280 -  latency: 1.688004 ms
2020-02-25 21:49:53.599127 -  latency: 3.070116 ms
2020-02-25 21:49:53.603642 -  latency: 2.158880 ms
2020-02-25 21:49:53.608750 -  latency: 1.832962 ms
2020-02-25 21:49:53.615794 -  latency: 3.401995 ms
2020-02-25 21:49:53.620203 -  latency: 2.320051 ms
2020-02-25 21:49:53.625258 -  latency: 1.901865 ms
2020-02-25 21:49:53.632112 -  latency: 3.279924 ms
2020-02-25 21:49:53.636737 -  latency: 2.437115 ms
2020-02-25 21:49:53.641606 -  latency: 1.888990 ms
2020-02-25 21:49:53.648541 -  latency: 3.339052 ms
2020-02-25 21:49:53.653000 -  latency: 2.369165 ms
2020-02-25 21:49:53.658399 -  latency: 2.254009 ms
2020-02-25 21:49:53.665333 -  latency: 3.206968 ms
2020-02-25 21:49:53.669648 -  latency: 2.095938 ms
2020-02-25 21:49:53.674776 -  latency: 1.751184 ms
2020-02-25 21:49:53.681483 -  latency: 3.037930 ms
2020-02-25 21:49:53.686058 -  latency: 2.170086 ms
2020-02-25 21:49:53.691123 -  latency: 1.753092 ms
2020-02-25 21:49:53.697879 -  latency: 3.031015 ms
2020-02-25 21:49:53.702464 -  latency: 2.179861 ms
2020-02-25 21:49:53.707435 -  latency: 1.708984 ms
2020-02-25 21:49:53.714101 -  latency: 3.004074 ms
2020-02-25 21:49:53.718647 -  latency: 2.203941 ms
2020-02-25 21:49:53.723727 -  latency: 1.789093 ms
2020-02-25 21:49:53.730506 -  latency: 3.093958 ms
2020-02-25 21:49:53.735379 -  latency: 2.556086 ms
2020-02-25 21:49:53.740103 -  latency: 1.815081 ms
2020-02-25 21:49:53.746867 -  latency: 3.098965 ms
2020-02-25 21:49:53.751542 -  latency: 2.290010 ms
2020-02-25 21:49:53.756476 -  latency: 1.749992 ms
2020-02-25 21:49:53.763390 -  latency: 3.203154 ms
