	key	node
214	6253891095256495753	cass-2
211	6287269348502410470	cass-1
206	6336879999886034163	CASS-3---
215	6340198444458772435	cass-2
212	6341718532879813790	cass-1
216	6352104868263262653	cass-2
207	6402802048232500814	CASS-3---
217	6418245376864129410	cass-2
208	6470492440723276849	CASS-3---
209	6492978415443981898	CASS-3---
210	6510556284516310905	CASS-3---
211	6526709586575546881	CASS-3---
213	6552275468235426949	cass-1
214	6553178743345558613	cass-1
212	6595482506420074375	CASS-3---
213	6596618550100592598	CASS-3---
218	6629976096348574979	cass-2
214	6751321780339274371	CASS-3---
219	6756502654982450124	cass-2
220	6757249435919609445	cass-2
215	6800656099658707017	CASS-3---
216	6825852084249715055	cass-1
221	6843467708506178136	cass-2
222	6845518668691684127	cass-2
216	6845673806824366293	CASS-3---
217	6886830109233017852	cass-1
223	6898318041763543924	cass-2
218	6904481879590939616	cass-1
217	6949709944136923238	CASS-3---
218	6978120594625924644	CASS-3---
219	6990114679018187943	cass-1
219	6995205882854810716	CASS-3---
224	7056819248617663345	cass-2
220	7058978024076400335	cass-1
225	7116620399525186017	cass-2
226	7119504794379790555	cass-2
221	7121182838897205593	cass-1
224	7165125447189277275	CASS-3---
222	7181837779264895242	cass-1
223	7193627207764975346	cass-1
224	7286733443296561578	cass-1
225	7305797250063591511	CASS-3---
226	7356541595070919340	CASS-3---
227	7371884573263648398	CASS-3---
228	7414835196314944057	CASS-3---
229	7451193965150088722	CASS-3---
229	7460933452213940432	cass-2
231	7525144727006104224	cass-2
231	7556608439380370492	CASS-3---
232	7590145034385635396	CASS-3---
232	7590420400270875961	cass-2
233	7655993049480690629	CASS-3---
226	7660177473719938761	cass-1
227	7661422683024859643	cass-1
233	7670644001804073071	cass-2
234	7697567618447835318	CASS-3---
235	7789458875705491712	CASS-3---
235	7797662120613456430	cass-2
236	7799106588704385016	cass-2
229	7824827109791239957	cass-1
230	7831981891209937524	cass-1
231	7846744578555500017	cass-1
236	7856297962982675196	CASS-3---
233	7874596714359224691	cass-1
234	7912364544867185251	cass-1
237	7978971240443936433	CASS-3---
238	7999937564816514246	CASS-3---
237	8012012526426980591	cass-2
239	8022597899452646564	CASS-3---
238	8026785876508382009	cass-2
240	8066884893677816260	CASS-3---
241	8080179553360922766	CASS-3---
236	8091328933711474438	cass-1
242	8128859571891526090	CASS-3---
237	8133767146858015263	cass-1
239	8139025205133415108	cass-2
238	8173584532463159659	cass-1
240	8223078119203377949	cass-2
243	8250373097720693260	CASS-3---
241	8251754954738780020	cass-2
242	8252297050136267243	cass-2
244	8261072144722306791	CASS-3---
239	8277732208214111615	cass-1
240	8320013092029063206	cass-1
245	8323742068658275863	CASS-3---
243	8365359097252161525	cass-2
246	8376201454617277493	CASS-3---
244	8376589248215377897	cass-2
245	8472405961839531259	cass-2
248	8477280083522635889	CASS-3---
246	8517911942401057492	cass-2
242	8565615248557155528	cass-1
243	8609828705134057547	cass-1
247	8621798939456104381	cass-2
248	8634946708712288679	cass-2
244	8640001555830749954	cass-1
249	8692480795222668912	cass-2
245	8695949428302324073	cass-1
249	8698360381659621003	CASS-3---
250	8709643875937193666	CASS-3---
251	8748813786148354516	CASS-3---
246	8763351549095732209	cass-1
247	8777124015764578238	cass-1
249	8860483254786758349	cass-1
250	8915160307251717309	cass-1
251	8918693956654538359	cass-1
252	8975136836260261367	cass-1
251	8983208314089042426	cass-2
252	9009614267642413688	cass-2
252	9047512055262772082	CASS-3---
253	9113241071747687487	cass-2
253	9187311391912883074	cass-1
254	9191592630439390593	cass-2
