2020-02-25 10:50:06.946762 -  latency: 2.804995 ms
2020-02-25 10:50:06.952482 -  latency: 3.060102 ms
2020-02-25 10:50:06.957947 -  latency: 3.046036 ms
2020-02-25 10:50:06.962532 -  latency: 2.164125 ms
2020-02-25 10:50:06.969799 -  latency: 3.944159 ms
2020-02-25 10:50:06.974206 -  latency: 2.939939 ms
2020-02-25 10:50:06.978838 -  latency: 2.095938 ms
2020-02-25 10:50:06.985875 -  latency: 3.661871 ms
2020-02-25 10:50:06.990670 -  latency: 2.984047 ms
2020-02-25 10:50:06.995126 -  latency: 2.022982 ms
2020-02-25 10:50:07.002028 -  latency: 3.525019 ms
2020-02-25 10:50:07.007207 -  latency: 2.808809 ms
2020-02-25 10:50:07.011952 -  latency: 2.048016 ms
2020-02-25 10:50:07.018181 -  latency: 2.818108 ms
2020-02-25 10:50:07.023618 -  latency: 2.786875 ms
2020-02-25 10:50:07.028282 -  latency: 2.032995 ms
2020-02-25 10:50:07.034662 -  latency: 2.995014 ms
2020-02-25 10:50:07.039803 -  latency: 2.726078 ms
2020-02-25 10:50:07.044494 -  latency: 1.956940 ms
2020-02-25 10:50:07.050969 -  latency: 2.923012 ms
2020-02-25 10:50:07.056181 -  latency: 2.667904 ms
2020-02-25 10:50:07.061090 -  latency: 2.109051 ms
2020-02-25 10:50:07.067310 -  latency: 2.863169 ms
2020-02-25 10:50:07.072626 -  latency: 2.745867 ms
2020-02-25 10:50:07.077878 -  latency: 2.526999 ms
2020-02-25 10:50:07.083829 -  latency: 3.001928 ms
2020-02-25 10:50:07.089172 -  latency: 2.866030 ms
2020-02-25 10:50:07.093961 -  latency: 2.136946 ms
2020-02-25 10:50:07.100170 -  latency: 2.933025 ms
2020-02-25 10:50:07.105394 -  latency: 2.689123 ms
2020-02-25 10:50:07.110398 -  latency: 2.224207 ms
2020-02-25 10:50:07.116690 -  latency: 3.040075 ms
2020-02-25 10:50:07.121527 -  latency: 2.457857 ms
2020-02-25 10:50:07.126720 -  latency: 2.244949 ms
2020-02-25 10:50:07.132944 -  latency: 3.030062 ms
2020-02-25 10:50:07.137946 -  latency: 2.602816 ms
2020-02-25 10:50:07.142901 -  latency: 2.151012 ms
2020-02-25 10:50:07.149324 -  latency: 3.160954 ms
2020-02-25 10:50:07.154169 -  latency: 2.596140 ms
2020-02-25 10:50:07.159508 -  latency: 2.521992 ms
2020-02-25 10:50:07.165472 -  latency: 3.015995 ms
2020-02-25 10:50:07.170394 -  latency: 2.510786 ms
2020-02-25 10:50:07.175454 -  latency: 2.141953 ms
2020-02-25 10:50:07.181661 -  latency: 2.934933 ms
2020-02-25 10:50:07.186772 -  latency: 2.635002 ms
2020-02-25 10:50:07.191691 -  latency: 2.134800 ms
2020-02-25 10:50:07.197945 -  latency: 2.970934 ms
2020-02-25 10:50:07.203076 -  latency: 2.639055 ms
2020-02-25 10:50:07.208019 -  latency: 2.150059 ms
2020-02-25 10:50:07.214346 -  latency: 3.010035 ms
2020-02-25 10:50:07.219556 -  latency: 2.807140 ms
2020-02-25 10:50:07.224386 -  latency: 2.201080 ms
2020-02-25 10:50:07.230733 -  latency: 3.072977 ms
2020-02-25 10:50:07.235993 -  latency: 2.856970 ms
2020-02-25 10:50:07.241319 -  latency: 2.711058 ms
2020-02-25 10:50:07.247605 -  latency: 3.054857 ms
2020-02-25 10:50:07.252862 -  latency: 2.839088 ms
2020-02-25 10:50:07.257707 -  latency: 2.210855 ms
2020-02-25 10:50:07.264063 -  latency: 3.100872 ms
2020-02-25 10:50:07.269243 -  latency: 2.820015 ms
