2020-02-19 08:38:00.842999 -  latency: 2.017021 ms
2020-02-19 08:38:00.849060 -  latency: 2.615213 ms
2020-02-19 08:38:00.853958 -  latency: 2.043962 ms
2020-02-19 08:38:00.859267 -  latency: 1.925945 ms
2020-02-19 08:38:00.865196 -  latency: 2.476931 ms
2020-02-19 08:38:00.870128 -  latency: 2.007961 ms
2020-02-19 08:38:00.875513 -  latency: 1.923084 ms
2020-02-19 08:38:00.881984 -  latency: 2.973080 ms
2020-02-19 08:38:00.886338 -  latency: 1.954079 ms
2020-02-19 08:38:00.891851 -  latency: 2.019882 ms
2020-02-19 08:38:00.897781 -  latency: 2.484798 ms
2020-02-19 08:38:00.902815 -  latency: 2.053976 ms
2020-02-19 08:38:00.908185 -  latency: 1.947880 ms
2020-02-19 08:38:00.914102 -  latency: 2.442122 ms
2020-02-19 08:38:00.919110 -  latency: 2.076149 ms
2020-02-19 08:38:00.924324 -  latency: 1.940966 ms
2020-02-19 08:38:00.930436 -  latency: 2.578974 ms
2020-02-19 08:38:00.935445 -  latency: 2.071142 ms
2020-02-19 08:38:00.940828 -  latency: 1.976013 ms
2020-02-19 08:38:00.946846 -  latency: 2.516985 ms
2020-02-19 08:38:00.951863 -  latency: 2.039194 ms
2020-02-19 08:38:00.957323 -  latency: 2.079964 ms
2020-02-19 08:38:00.963659 -  latency: 2.981186 ms
2020-02-19 08:38:00.968165 -  latency: 2.051115 ms
2020-02-19 08:38:00.973478 -  latency: 1.950026 ms
2020-02-19 08:38:00.979599 -  latency: 2.608061 ms
2020-02-19 08:38:00.984610 -  latency: 2.159119 ms
2020-02-19 08:38:00.989902 -  latency: 1.975060 ms
2020-02-19 08:38:00.995934 -  latency: 2.544165 ms
2020-02-19 08:38:01.001072 -  latency: 2.202034 ms
2020-02-19 08:38:01.006382 -  latency: 2.042055 ms
2020-02-19 08:38:01.012353 -  latency: 2.512932 ms
2020-02-19 08:38:01.017449 -  latency: 2.142906 ms
2020-02-19 08:38:01.022634 -  latency: 1.910925 ms
2020-02-19 08:38:01.028777 -  latency: 2.579927 ms
2020-02-19 08:38:01.033759 -  latency: 2.094030 ms
